Course Code,Course Title,course_dept,faculty_dept
FLM102,Fluid Mechanics Lab,Civil Engineering,Computer Engineering
STR103,Strength of Materials,Mechanical Engineering,Computer Engineering
THD102,Thermodynamics Lab,Mechanical Engineering,Computer Engineering
EAR101,Earthquake Eng.,Civil Engineering,Computer Engineering
SUE101,Sustainable Engineering,Civil Engineering,Mechanical Engineering
ML101,Machine Learning,Computer Engineering,Civil Engineering
PWS101,Power Systems,Electrical Engineering,Civil Engineering
MPR101,Microprocessors,Electrical Engineering,Computer Engineering
COM104,Communication Theory,Electronics Engineering,Civil Engineering
MCD101,Machine Design,Mechanical Engineering,Computer Engineering
VIB101,Vibration Analysis,Mechanical Engineering,Electronics Engineering
PLA101,Planning & Development,Civil Engineering,Computer Engineering
AIL101,AI Lab,Computer Engineering,Civil Engineering
SUB105,ML,Computer Engineering,Civil Engineering
SEC101,Security Lab,Computer Engineering,Electrical Engineering
POW103,Power Plant Eng.,Electrical Engineering,Electronics Engineering
NAN102,Nano Lab,Electronics Engineering,Computer Engineering
ROB101,Robotics,Mechanical Engineering,Civil Engineering
ENE102,Energy Lab,Electrical Engineering,Computer Engineering
SIP104,Signal Processing Lab,Electronics Engineering,Mechanical Engineering
VLS105,VLSI Lab,Electronics Engineering,Mechanical Engineering
HTR101,Heat Transfer,Mechanical Engineering,Electronics Engineering
MAT120,Material Science,Mechanical Engineering,Computer Engineering
AUT103,Automobile Lab,Mechanical Engineering,Electronics Engineering
PRO110,Production Planning,Mechanical Engineering,Electrical Engineering
WSH102,Workshop,Computer Engineering,Mechanical Engineering
DIG104,Digital Lab,Electronics Engineering,Civil Engineering
OPT101,Optical Communication,Electronics Engineering,Electrical Engineering
IOT102,IoT Lab,Electronics Engineering,Computer Engineering
INE101,Industrial Engineering,Mechanical Engineering,Electrical Engineering
AUT101,Automation,Mechanical Engineering,Computer Engineering
ADM101,Advanced Manufacturing,Mechanical Engineering,Civil Engineering
ELE102,Elective 2,Civil Engineering,Electrical Engineering
SUB106,CC,Computer Engineering,Electronics Engineering
ENE101,Energy Management,Electrical Engineering,Electronics Engineering
